LS#,simulation file#,score
LS1,6,-5.072780e-05
LS1,8,-9.488075e-05
LS1,7,-9.517067e-05
LS1,10,-9.534825e-05
LS1,9,-9.538908e-05
LS1,3,-3.063587e-04
LS1,2,-3.158729e-04
LS1,4,-3.338582e-04
LS1,1,-3.402486e-04
LS1,5,-4.964440e-04
LS1,18,-1.337798e-01
LS1,19,-1.473078e-01
LS1,16,-1.474637e-01
LS1,17,-1.600924e-01
LS1,20,-2.442745e-01
LS1,13,-3.948917e-01
LS1,14,-4.054510e-01
LS1,12,-4.064426e-01
LS1,11,-4.196927e-01
LS1,15,-4.378242e-01
LS2,17,4.841495e-01
LS2,18,4.491222e-01
LS2,19,4.479776e-01
LS2,16,4.187720e-01
LS2,20,2.498615e-01
LS2,5,2.280771e-03
LS2,1,1.570890e-03
LS2,4,1.543624e-03
LS2,2,1.463017e-03
LS2,3,1.416684e-03
LS2,9,4.376997e-04
LS2,10,4.373518e-04
LS2,7,4.367571e-04
LS2,8,4.353506e-04
LS2,6,2.325411e-04
LS2,13,-1.376672e-01
LS2,12,-1.452908e-01
LS2,14,-1.541055e-01
LS2,11,-1.684342e-01
LS2,15,-1.822320e-01
LS3,17,2.240496e-03
LS3,19,1.785740e-03
LS3,18,1.595334e-03
LS3,16,1.441878e-03
LS3,20,1.189781e-03
LS3,12,-2.149263e-04
LS3,13,-2.417546e-04
LS3,14,-2.731936e-04
LS3,15,-2.795937e-04
LS3,11,-2.841005e-04
LS3,6,-3.374465e-02
LS3,10,-6.543833e-02
LS3,8,-6.686248e-02
LS3,9,-6.737949e-02
LS3,7,-6.795602e-02
LS3,5,-3.662485e-01
LS3,1,-4.151106e-01
LS3,3,-4.527239e-01
LS3,4,-4.654159e-01
LS3,2,-5.029019e-01
LS4,2,9.665487e-02
LS4,3,8.079435e-02
LS4,4,6.956234e-02
LS4,1,3.580834e-02
LS4,5,8.115922e-03
LS4,17,2.710882e-04
LS4,19,2.153871e-04
LS4,18,1.919642e-04
LS4,16,1.729147e-04
LS4,20,1.434713e-04
LS4,12,-2.530507e-05
LS4,13,-2.868807e-05
LS4,14,-3.238812e-05
LS4,15,-3.296953e-05
LS4,11,-3.362658e-05
LS4,6,-1.494565e-01
LS4,10,-4.067185e-01
LS4,8,-5.002909e-01
LS4,9,-5.020885e-01
LS4,7,-5.364716e-01
